Artist,Album / Compilation,Slot-Nummer (neu),Cluster / Notizen,Discogslink,,Cover Art URL,Tracklist,CD Notes
DJ Sprinkles,Midtown 120 Blues,81,Genre: House,https://www.discogs.com/release/1635238-DJ-Sprinkles-Midtown-120-Blues,,https://i.discogs.com/dSSb0A6OmwIFwXOvE7QJrHMORgBEL7ZvOqixsl2LuWA/rs:fit/g:sm/q:90/h:504/w:504/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MzUy/MzgtMTIzNTg1OTY4/My5qcGVn.jpeg,"01 Midtown 120 Intro (2:46)
02 Midtown 120 Blues (8:06)
03 Ball'r (Madonna-Free Zone) (8:18)
04 Brenda's $20 Dilemma (7:47)
05 House Music Is Controllable Desire You Can Own (7:09)
06 Sisters, I Don't Know What This World Is Coming To (10:46)
07 Reverse Rotation (7:19)
08 Grand Central, Pt. I (Deep Into The Bowel Of House) (12:08)
09 Grand Central, Pt. II (72 Hrs. By Rail From Missouri) (8:24)
10 The Occasional Feel-Good (6:40)",
DJ Koze,Music ist ok,82,Genre: House,https://www.discogs.com/release/91420-DJ-Koze-Music-Is-Okay,,https://i.discogs.com/ixMXdk6J_gzNSbNdtwYySI_0OfPQNKw0F2HWxW0pXo8/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkxNDIw/LTExNjM4NDgzODAu/anBlZw.jpeg,"01 Unknown Artist - Intro (0:27)
02 DJ Koze präsentiert Blumfeld - Tausend Tränen Tief (Steve Bug Loverboy Remix) (5:59)
03 Egoexpress - Telefunken (Adolf Noise Remix) (4:56)
04 Fünf Sterne Deluxe - Happy Hip Hop (7:32)
05 Station 17 - Lila Pause (feat. DJ Koze) (5:29)
06 RAH Band - Clouds Across The Moon (Moonboots Kick Ass Mix) (5:35)
07 Der Tobi & Das Bo - Is Mir Egal (Adolf Noise Meditation) (6:19)
08 Jacques Palminger - Auf Meinem Anrufbeantworter (0:44)
09 Die Fantastischen Vier - Le Smou (DJ Koze & Mario von Hacht Instrumental) (3:00)
10 DJ Koze - KISS FM Zypern Funkspot (0:25)
11 Visit Venus - The Big Tilt (DJ Koze Remix) (4:44)
12 Die Goldenen Zitronen - Weil Wir Einverstanden Sind (Adolf Noise Remix) (5:02)
13 Rocko Schamoni - Discoteer (DJ Koze Remix) (5:29)
14 DJ Koze - Kosi In My Mind (1:33)
15 Tocotronic - Jackpot (Fischmob | Erobique Remix) (12:45)",
Herbert,Bodily Functions,83,Genre: House,https://www.discogs.com/release/4029-Herbert-Bodily-Functions,,https://i.discogs.com/hrBzrC1MOYUmNIv1AfHNluTdvK74r8kT7t75Sz1f0w8/rs:fit/g:sm/q:90/h:536/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwMjkt/MTI1NzE4OTI0NC5q/cGVn.jpeg,"01 You're Unknown To Me (2:13)
02 It's Only (7:21)
03 Foreign Bodies (5:37)
04 Suddenly (6:29)
05 I Know (4:24)
06 Leave Me Now (6:36)
07 The Last Beat (4:20)
08 You Saw It All (7:04)
09 On Reflection (4:29)
10 About This Time Each Day (3:44)
11 Addiction (6:44)
12 I Miss You (4:52)
13 It's Only A Reprise (1:57)
14 The Audience (6:15)",
Solomun,Dance Baby,84,Genre: House,https://www.discogs.com/release/1963271-Solomun-Dance-Baby,,https://i.discogs.com/xjVNI7MzFYWfWF5v-EjziPlaTjE2RDL2MFXY0uqBdCs/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5NjMy/NzEtMTI1NTMzNTQ3/OS5qcGVn.jpeg,"01 Country Song (6:43)
02 Boys In The Hood (5:32)
03 Cloud Dancer (4:10)
04 Hypnotize (6:42)
05 After Rain Comes Sun (3:54)
06 Midnight Snack (5:59)
07 Blackout (6:28)
08 Deep Circus (5:45)
09 Deja - Vu (6:14)
10 Forever (8:13)
11 Story Of My Life (8:03)",
Cobblestone Jazz,The Modern Deep Left Quartet,85,Genre: House,https://www.discogs.com/release/4108661-Cobblestone-Jazz-The-Modern-Deep-Left-Quartet,,https://i.discogs.com/dY20BslUxYTHqleaRu-LW7hZiQiamek-wt5Mxd2PeBQ/rs:fit/g:sm/q:90/h:236/w:239/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQxMDg2/NjEtMTM1NTUwNjk3/NC02MjUwLnBuZw.jpeg,"01 Chance Dub (7:42)
02 Sun Child (7:40)
03 Mr Polite (7:01)
04 Cromagnon Man (5:03)
05 Fiesta (5:52)
06 Children (6:09)
07 Chance (7:59)
08 Midnight Sun (6:23)",
Hercules and Love Affair,Hercules and Love Affair,86,Genre: House,https://www.discogs.com/release/1489845-Hercules-And-Love-Affair-Hercules-And-Love-Affair,,https://i.discogs.com/40G-s2WvQldzGwdT9iLIU98ppsB9P_5JYwEv6g-9ufs/rs:fit/g:sm/q:90/h:599/w:593/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0ODk4/NDUtMTIyNDgwNjE4/NC5qcGVn.jpeg,"01 Time Will (4:34)
02 Hercules Theme (4:30)
03 You Belong (4:12)
04 Athene (4:00)
05 Blind (6:18)
06 Iris (4:16)
07 Easy (5:22)
08 This Is My Love (4:58)
09 Raise Me Up (3:52)
10 True/False, Fake/Real (4:33)",
Various Artists,The History Of The House Sound Of Chicago CD3,87,Genre: House,https://www.discogs.com/release/37791-Various-The-History-Of-The-House-Sound-Of-Chicago-From-The-Very-Beginning-The-Essence-On-Compact-Dis,,https://i.discogs.com/IxlCHMO7RQNht9BupAHZoB3iTjmDUcwPYDU53rSga2I/rs:fit/g:sm/q:90/h:468/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM3Nzkx/LTE3MDE3MDM4MTkt/NDA5NC5qcGVn.jpeg,"01 Chic - Jack Le Freak (8:25)
02 Cerrone - Supernature '88 (6:46)
03 Freeez - I.O.U. (The Ultimate Club - Vocal Mix) (6:08)
04 Criminal Element Orchestra - Put The Needle To The Record (6:39)
05 Jellybean feat. Steven Dante - The Real Thing (West 26th Street Mix) (7:46)
06 Kelly Charles - You're No Good For Me (Club Mix) (5:58)
07 L.A. Mix - Don't Stop Jammin' (The Brutal Remix) (6:53)
08 M.A.R.R.S. - Pump Up The Volume (Original Version) (5:09)
09 Full House - Communicate (Club Mix) (6:12)
10 The Beatmasters feat. The Cookie Crew - Rock Da House (Remix) (6:25)
11 Various - The House Sound Of Chicago Megamix Volume II (The Classix Mix) (8:21)",
Soulphiction,Do You Overstand?,88,Genre: House,https://www.discogs.com/release/1316417-Soulphiction-Do-You-Overstand,,https://i.discogs.com/dh19-4IT41kS3ck5_2j0d4zb7OFc_Vzro4MtvdK72Ss/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMTY0/MTctMTc0NDEzMzU5/NC0zNjY4LmpwZWc.jpeg,"01 Chevy Estate (3:06)
02 Ghana Wadada (3:09)
03 Velveteens (6:24)
04 Touch From The Past (4:36)
05 Cargo (3:37)
06 Soul Print (2:31)
07 Sun Children (5:36)
08 Prison Song (5:11)
09 Reclap (2:11)
10 Darkest Berry (4:57)
11 Reminisce All Over You (6:30)
12 Whizzdom And Understanding (7:26)
13 I Just Wait (3:24)
14 So What (5:20)",
Motor City Drum Ensemble,DJ-Kicks,89,Genre: House,https://www.discogs.com/release/3874516-Motor-City-Drum-Ensemble-DJ-Kicks,,https://i.discogs.com/x94D1fVzRzM5jaa2W14UW5e7hAQhkRWAZR4IFgkES4c/rs:fit/g:sm/q:90/h:212/w:210/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM4NzQ1/MTYtMTM0NzY5ODg0/Ni0yOTA2LnBuZw.jpeg,"01 Sun Ra - Door To The Cosmos (1:27)
02 Electric Wire Hustle - Again (Scratch 22 Remix) (1:45)
03 Rhythm & Sound - Mango Drive (3:18)
04 Tony Allen - Ariya (3:29)
05 Peven Everett - Stuck (Original) (4:02)
06 Bad Jazz Troupe - Breakdown Treat (2:57)
07 Mr. Fingers - The Juice (2:33)
08 Rick “Poppa” Howard - Can Your Love Find Its Way (Club Vocal) (4:00)
09 Stone - Girl I Like The Way That You Move (Dub) (2:39)
10 Fred P - On This Vibe (4:04)
11 Creative Swing Alliance - Don't Forget Your Keyz (2:37)
12 Geraldo Pino & The Heartbeats - Black Woman Experience (2:50)
13 Philippe Sarde - Le Cortège Et Course (2:22)
14 Robert Hood - The Pace (2:19)
15 Loose Joints - Pop Your Funk (Vocal Version) (2:39)
16 Arts & Crafts - I've Been Searching (Walter Gibbons 12"" Mix) (2:24)
17 Motor City Drum Ensemble - L.O.V.E. (DJ-Kicks) (4:18)
18 Aphex Twin - Actium (4:10)
19 Recloose - Cardiology (Isolée Mix) (5:46)
20 Latecomer - Cosmic Cart (3:11)
21 Timo Lassy - African Rumble (6:30)
22 James Mason - Sweet Power, Your Embrace (5:20)",
Tobias Thomas,Please Please Please,90,Genre: Electronic ,https://www.discogs.com/release/3259620-Tobias-Thomas-Please-Please-Please,,https://i.discogs.com/gNaPIFvG6KOf7Vi-gg-Uqs1nG6L7Y6KxBC8-B6aQbmE/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyNTk2/MjAtMTc2MzY2NTkz/My03ODUzLmpwZWc.jpeg,"01 Pantha Du Prince - Butterfly Girl (Pantha Lost The Beat Version) (4:15)
02 Adolf Noise - Was Ist Zuviel Zeit? (Dub) (3:19)
03 Pantha Du Prince - Reprise (3:13)
04 Krause Duo - Kingpult (9:01)
05 Johannes Heil - Aquarius (4:39)
06 Vulva String Quartett - Wild Wild Berry (5:38)
07 Ricardo Villalobos - The Contempt (Trip Tollsmix) (7:13)
08 The Kooky Scientist - A Little Older, A Little Bolder (5:27)
09 Thomas / Burger - My Favourite Dress (Theme 2006) (6:26)
10 Reinhard Voigt - Suchtkultur (4:24)
11 Pachulke Und Sohn - Läuft Gut (5:39)
12 Brant feat. Mr. Roper - Last Night I Dreamt That Somebody Loved Me (Ada Mix) (5:47)
13 International Pony - Gravity (4:31)
14 Stella - Dreams (Thomas / Geiger Mix) (8:03)",
Supermayer,Save the World,91,Genre: Electronic ,https://www.discogs.com/release/1073256-Supermayer-Save-The-World,,https://i.discogs.com/hzYrq2_jrL8jyQqjaQq5qj8dJICYkMP_o2nhzJWsX4o/rs:fit/g:sm/q:90/h:537/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzMy/NTYtMTUyMDYwOTQy/NS02NjgxLmpwZWc.jpeg,"01 Hey! (1:03)
02 The Art Of Letting Go (5:38)
03 Saturndays (7:14)
04 Superbrain Transmission (2:34)
05 Us And Them (5:44)
06 For Luzie (0:45)
07 The Lonesome King (5:57)
08 Don't Let The Sun Catch You Crying (1:08)
09 Please Sunrise (7:55)
10 Planet Of The Sick (6:46)
11 Psychoprogs Attack! (1:25)
12 Two Of Us (Extended Album Version) (9:49)
13 Cocktails For Two (7:18)",
Michael Mayer,Immer 2,92,Genre: Electronic ,https://www.discogs.com/release/811929-Michael-Mayer-Immer-2,,https://i.discogs.com/PXApg1-cw-uXkD-w_NeXPlMx4LvdiPS7hQqsRf2ZXmY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgxMTky/OS0xMjcwMDc2NTgx/LmpwZWc.jpeg,"01 Someone Else - Ploosh (5:47)
02 Ian Simmonds - The Dog (4:29)
03 Brooks - Tell Somebody About The Beat (3:52)
04 Frank West - 2nd Booty (2:19)
05 Crowdpleaser & St. Plomb - 18 Years (4:45)
06 Justus Köhncke - Advance (6:45)
07 Lindstrøm - Another Station (Todd Terje Remix) (6:45)
08 The Rice Twins - For Dan (6:29)
09 SCSI-9 - Morskaya (5:50)
10 Jesse Somfay - Lying In A Bed Of Mist (6:43)
11 DK7 - Where's The Fun (Sten Remix) (7:17)
12 Geiger - Good Evening (SuperMayer Remix) (11:28)",
Michael Mayer,Immer 3,93,Genre: Electronic ,https://www.discogs.com/release/2308510-Michael-Mayer-Immer-3,,https://i.discogs.com/qWvrdMtNwo-E6yakjLLN_Aq2HnQ9Qth0udHV5vurRqM/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMDg1/MTAtMTI3NjUzMDE4/OS5qcGVn.jpeg,"01 Cortney Tidwell - Don't Let Stars Keep Us Tangled Up (Ewan Pearson's All This Has Happened Before Version) (6:08)
02 Closer Musik - Departures (7:54)
03 Ben Watt - Guinea Pig / Vocal Variation (DJ Koze Remix) (5:51)
04 Tim Paris - Edges Of Corrosion (6:27)
05 Smith N Hack - Falling Stars (8:00)
06 Raudive - Slave (6:05)
07 Massive Attack - Paradise Circus (Gui Boratto Remix) (7:19)
08 Popnoname - Hello Gorgeous (Terranova Remix) (5:39)
09 Charlotte Gainsbourg - The Operation (Superpitcher Remix) (8:30)
10 Culoe De Song - The Bright Forest (7:05)
11 Kinky Justice - New Day (7:53)",
